,Date,Consumer Staples,Information Technology,Ameriprise Financial,Consumer Discretionary,Utilities,Real Estate,Health Care,Materials,Energy,Telecommunication Services,Industrials,S&P
220,11/14/2019,120.65,262.64,159.32,1754.6,117.85,544.71,111.39,20.29,11.89,76.84,92.52,3096.63
221,11/15/2019,118.87,265.76,160.17,1739.49,118.24,550.41,113.19,19.75,12.1,78.07,92.51,3120.46
222,11/18/2019,120.25,267.1,158.26,1752.53,118.68,558.21,114.07,18.95,11.78,78.19,92.77,3122.03
223,11/19/2019,119.89,266.29,159.01,1752.79,119.13,564.96,115.1,18.81,11.46,77.16,93.29,3120.18
224,11/20/2019,119.13,263.19,158.38,1745.53,120.57,568.76,114.61,18.13,11.69,77.64,91.7,3108.46
225,11/21/2019,119.86,262.01,158.05,1734.71,119.34,560.17,114.75,18.02,11.89,77.7,90.97,3103.54
226,11/22/2019,119.36,261.78,159.77,1745.72,119.04,557.58,116.2,18.16,12.2,78.59,91.78,3110.29
227,11/25/2019,118.92,266.37,161.78,1773.84,119.31,553.85,117.47,18.64,12.11,78.0,92.52,3133.64
228,11/26/2019,119.19,264.29,161.02,1796.94,121.03,554.68,117.09,18.75,11.83,78.45,92.76,3140.52
229,11/27/2019,118.76,267.84,163.39,1818.51,121.27,565.19,117.44,19.0,11.88,78.98,93.05,3153.63
